#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Uchuu Race - Astro Go! Go! (Japan);Uchuu Race - Astro Go! Go! (Japan);Nintendo Super Famicom;;1994;Kaze;Driving;;;;;0;;;;;
Uchuu no Kishi Tekkaman Blade (Japan) (Translated En);Uchuu no Kishi Tekkaman Blade (Japan) (Translated En);Nintendo Super Famicom;;1993;Bec;Shoot-'Em-Up;;;;;0;;;;;
Ultra Baseball Jitsumei Ban (Japan) (Translated En);Ultra Baseball Jitsumei Ban (Japan) (Translated En);Nintendo Super Famicom;;1992;Culture Brain;Sports/Baseball;;;;;0;;;;;
Ultra Baseball Jitsumei Ban 2 (Japan);Ultra Baseball Jitsumei Ban 2 (Japan);Nintendo Super Famicom;;1994;Culture Brain;Sports/Baseball;;;;;0;;;;;
Ultra Baseball Jitsumei Ban 3 (Japan);Ultra Baseball Jitsumei Ban 3 (Japan);Nintendo Super Famicom;;1995;Culture Brain;Sports/Baseball;;;;;0;;;;;
Ultra League - Moero! Soccer Daikessen!! (Japan);Ultra League - Moero! Soccer Daikessen!! (Japan);Nintendo Super Famicom;;1995;Tom Create;Sports/Soccer;;;;;0;;;;;
Ultra Seven (Japan);Ultra Seven (Japan);Nintendo Super Famicom;;1993;Bec;Fighter;;;;;0;;;;;
Umihara Kawase (Japan) (Translated En);Umihara Kawase (Japan) (Translated En);Nintendo Super Famicom;;1994;Atelier Double;Puzzle;;;;;0;;;;;
Umizuri Meijin - Suzuki Hen (Japan);Umizuri Meijin - Suzuki Hen (Japan);Nintendo Super Famicom;;1994;A-Wave;Sports/Fishing;;;;;0;;;;;
Undake 30 Same Game Daisakusen - Mario Version (Japan);Undake 30 Same Game Daisakusen - Mario Version (Japan);Nintendo Super Famicom;;1995;Hudson;Puzzle;;;;;0;;;;;
Undercover Cops (Japan);Undercover Cops (Japan);Nintendo Super Famicom;;1995;Irem;Beat-'Em-Up;;;;;0;;;;;
Ushio to Tora (Japan);Ushio to Tora (Japan);Nintendo Super Famicom;;1993;Yutaka;Action;;;;;0;;;;;
Vs. Collection (Japan);Vs. Collection (Japan);Nintendo Super Famicom;;1996;Bottom Up;Miscellaneous;;;;;0;;;;;
Wagyan Paradise (Japan);Wagyan Paradise (Japan);Nintendo Super Famicom;;1994;Namco;Action;;;;;0;;;;;
Wakataka Oozumou - Yume no Kyoudai Taiketsu (Japan);Wakataka Oozumou - Yume no Kyoudai Taiketsu (Japan);Nintendo Super Famicom;;1993;Tomcat System;Sports/Wrestling;;;;;0;;;;;
Wakuwaku Ski Wonder Spur (Japan);Wakuwaku Ski Wonder Spur (Japan);Nintendo Super Famicom;;1995;Human Club;Sports/Skiing;;;;;0;;;;;
